#EXPORTTYPE:DATA SINGLE
#FILE:2024-02-15_Неизотермическая кристаллизация PBS_25-140_3-5-10-15-17-20Kmin_50mlmin.ngb-sd7
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:PBS
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH DSC 204F1 Phoenix
#PROJECT:
#DATE/TIME:15.02.2024 11:16
#CORR. FILE:
#TEMPCAL:06-12-2021 13:53
#SENSITIVITY:06-12-2021 13:52
#LABORATORY:
#OPERATOR:SitnikovaV
#REMARK:
#SAMPLE:PBS
#SAMPLE MASS /mg:17,842
#MATERIAL:polymer
#REFERENCE:ПВС порошок
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Concavus Al, closed
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#PURGE 1 MFC:OXYGEN,252,5 ml/min
#PURGE 2 MFC:NITROGEN,250,0 ml/min
#PROTECTIVE MFC:NITROGEN,250,0 ml/min
#M.RANGE /µV:5000
#TAU-R:---
#CORR. CODE:000
#EXO:-1
#RANGE:140°C/3.0(K/min)/50°C
#SEGMENT:S3/24
#SEG. 3:140°C/3.0(K/min)/50°C

##Temp./°C;Time/min;DSC/(mW/mg);Sensit./(uV/mW)
 50.02500;40.74500;     -0.10943;3.45117
 50.52500;40.57792;     -0.10977;3.45093
 51.02500;40.41065;     -0.11006;3.45068
 51.52500;40.24338;     -0.11030;3.45043
 52.02500;40.07612;     -0.11061;3.45018
 52.52500;39.90891;     -0.11098;3.44992
 53.02500;39.74184;     -0.11136;3.44966
 53.52500;39.57494;     -0.11178;3.44940
 54.02500;39.40822;     -0.11213;3.44913
 54.52500;39.24165;     -0.11230;3.44886
 55.02500;39.07518;     -0.11270;3.44859
 55.52500;38.90878;     -0.11300;3.44832
 56.02500;38.74243;     -0.11321;3.44804
 56.52500;38.57608;     -0.11370;3.44776
 57.02500;38.40972;     -0.11377;3.44748
 57.52500;38.24326;     -0.11401;3.44719
 58.02500;38.07665;     -0.11432;3.44690
 58.52500;37.90989;     -0.11446;3.44661
 59.02500;37.74296;     -0.11500;3.44632
 59.52500;37.57590;     -0.11550;3.44602
 60.02500;37.40877;     -0.11571;3.44572
 60.52500;37.24164;     -0.11629;3.44542
 61.02500;37.07460;     -0.11711;3.44511
 61.52500;36.90778;     -0.11787;3.44480
 62.02500;36.74122;     -0.11844;3.44449
 62.52500;36.57489;     -0.11899;3.44418
 63.02500;36.40871;     -0.11978;3.44386
 63.52500;36.24255;     -0.12018;3.44354
 64.02500;36.07632;     -0.12065;3.44322
 64.52500;35.90991;     -0.12096;3.44289
 65.02500;35.74328;     -0.12149;3.44256
 65.52500;35.57640;     -0.12198;3.44223
 66.02500;35.40929;     -0.12268;3.44190
 66.52500;35.24199;     -0.12306;3.44156
 67.02500;35.07459;     -0.12370;3.44122
 67.52500;34.90715;     -0.12477;3.44088
 68.02500;34.73984;     -0.12578;3.44053
 68.52500;34.57278;     -0.12686;3.44019
 69.02500;34.40598;     -0.12770;3.43984
 69.52500;34.23950;     -0.12851;3.43948
 70.02500;34.07327;     -0.12922;3.43912
 70.52500;33.90723;     -0.13015;3.43876
 71.02500;33.74131;     -0.13070;3.43840
 71.52500;33.57541;     -0.13119;3.43804
 72.02500;33.40945;     -0.13154;3.43767
 72.52500;33.24334;     -0.13235;3.43730
 73.02500;33.07706;     -0.13277;3.43692
 73.52500;32.91056;     -0.13312;3.43655
 74.02500;32.74381;     -0.13358;3.43617
 74.52500;32.57678;     -0.13406;3.43579
 75.02500;32.40945;     -0.13472;3.43540
 75.52500;32.24184;     -0.13534;3.43501
 76.02500;32.07405;     -0.13629;3.43462
 76.52500;31.90620;     -0.13733;3.43423
 77.02500;31.73841;     -0.13894;3.43383
 77.52500;31.57084;     -0.14038;3.43343
 78.02500;31.40355;     -0.14237;3.43303
 78.52500;31.23661;     -0.14482;3.43262
 79.02500;31.07003;     -0.14771;3.43222
 79.52500;30.90377;     -0.15085;3.43181
 80.02500;30.73772;     -0.15616;3.43139
 80.52500;30.57176;     -0.16497;3.43098
 81.02500;30.40573;     -0.18114;3.43056
 81.52500;30.23958;     -0.21059;3.43014
 82.02500;30.07333;     -0.25894;3.42971
 82.52500;29.90704;     -0.32969;3.42928
 83.02500;29.74079;     -0.41857;3.42885
 83.52500;29.57456;     -0.51554;3.42842
 84.02500;29.40831;     -0.60907;3.42798
 84.52500;29.24196;     -0.68910;3.42754
 85.02500;29.07548;     -0.74775;3.42710
 85.52500;28.90889;     -0.77957;3.42666
 86.02500;28.74222;     -0.78380;3.42621
 86.52500;28.57553;     -0.76283;3.42576
 87.02500;28.40882;     -0.72021;3.42531
 87.52500;28.24209;     -0.66192;3.42485
 88.02500;28.07531;     -0.59353;3.42439
 88.52500;27.90845;     -0.52113;3.42393
 89.02500;27.74153;     -0.44954;3.42347
 89.52500;27.57455;     -0.38258;3.42300
