#EXPORTTYPE:DATA SINGLE
#FILE:2024-02-15_Неизотермическая кристаллизация PEG8000_25-140_3-5-10-15-17-20Kmin_50mlmin.ngb-sd7
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:PEG8000
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH DSC 204F1 Phoenix
#PROJECT:
#DATE/TIME:16.02.2024 12:03
#CORR. FILE:
#TEMPCAL:06-12-2021 13:53
#SENSITIVITY:06-12-2021 13:52
#LABORATORY:
#OPERATOR:SitnikovaV
#REMARK:
#SAMPLE:PEG8000
#SAMPLE MASS /mg:8,606
#MATERIAL:polymer
#REFERENCE:ПВС порошок
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Concavus Al, closed
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#PURGE 1 MFC:OXYGEN,252,5 ml/min
#PURGE 2 MFC:NITROGEN,250,0 ml/min
#PROTECTIVE MFC:NITROGEN,250,0 ml/min
#M.RANGE /µV:5000
#TAU-R:---
#CORR. CODE:000
#EXO:-1
#RANGE:100°C/15.0(K/min)/25°C
#SEGMENT:S15/24
#SEG. 15:100°C/15.0(K/min)/25°C

##Temp./°C;Time/min;DSC/(mW/mg);Sensit./(uV/mW)
25.10000;102.49500;     -0.53023;3.45976
25.60000;102.46164;     -0.57774;3.45966
26.10000;102.42837;     -0.64254;3.45956
26.60000;102.39511;     -0.72794;3.45945
27.10000;102.36187;     -0.84029;3.45934
27.60000;102.32865;     -0.98914;3.45922
28.10000;102.29545;     -1.18569;3.45911
28.60000;102.26228;     -1.44436;3.45899
29.10000;102.22913;     -1.78386;3.45887
29.60000;102.19600;     -2.22893;3.45874
30.10000;102.16287;     -2.72912;3.45861
30.60000;102.12974;     -3.14293;3.45848
31.10000;102.09661;     -3.40221;3.45835
31.60000;102.06349;     -3.61786;3.45821
32.10000;102.03039;     -3.97537;3.45807
32.60000;101.99730;     -4.43127;3.45793
33.10000;101.96422;     -4.92616;3.45779
33.60000;101.93113;     -5.44292;3.45764
34.10000;101.89801;     -5.95536;3.45749
34.60000;101.86485;     -6.39359;3.45733
35.10000;101.83164;     -6.62372;3.45718
35.60000;101.79839;     -6.71341;3.45702
36.10000;101.76509;     -6.64833;3.45686
36.60000;101.73175;     -6.44549;3.45669
37.10000;101.69839;     -6.14798;3.45652
37.60000;101.66500;     -5.76009;3.45635
38.10000;101.63158;     -5.27063;3.45618
38.60000;101.59813;     -4.69848;3.45600
39.10000;101.56467;     -4.09697;3.45582
39.60000;101.53122;     -3.51106;3.45564
40.10000;101.49777;     -2.95517;3.45545
40.60000;101.46435;     -2.44135;3.45526
41.10000;101.43094;     -1.98579;3.45507
41.60000;101.39756;     -1.59916;3.45488
42.10000;101.36420;     -1.27524;3.45468
42.60000;101.33086;     -1.02157;3.45448
43.10000;101.29754;     -0.82676;3.45428
