#EXPORTTYPE:DATA SINGLE
#FILE:2024-02-15_Неизотермическая кристаллизация PBS_25-140_3-5-10-15-17-20Kmin_50mlmin.ngb-sd7
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:PBS
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH DSC 204F1 Phoenix
#PROJECT:
#DATE/TIME:15.02.2024 11:16
#CORR. FILE:
#TEMPCAL:06-12-2021 13:53
#SENSITIVITY:06-12-2021 13:52
#LABORATORY:
#OPERATOR:SitnikovaV
#REMARK:
#SAMPLE:PBS
#SAMPLE MASS /mg:17,842
#MATERIAL:polymer
#REFERENCE:ПВС порошок
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Concavus Al, closed
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#PURGE 1 MFC:OXYGEN,252,5 ml/min
#PURGE 2 MFC:NITROGEN,250,0 ml/min
#PROTECTIVE MFC:NITROGEN,250,0 ml/min
#M.RANGE /µV:5000
#TAU-R:---
#CORR. CODE:000
#EXO:-1
#RANGE:140°C/17.0(K/min)/50°C
#SEGMENT:S19/24
#SEG. 19:140°C/17.0(K/min)/50°C

##Temp./°C;Time/min;DSC/(mW/mg);Sensit./(uV/mW)
 50.08200;137.04000;     -0.65560;3.45115
 50.58200;137.01072;     -0.65867;3.45090
 51.08200;136.98111;     -0.66240;3.45065
 51.58200;136.95152;     -0.66643;3.45040
 52.08200;136.92201;     -0.67055;3.45015
 52.58200;136.89252;     -0.67558;3.44989
 53.08200;136.86303;     -0.68048;3.44963
 53.58200;136.83354;     -0.68625;3.44937
 54.08200;136.80406;     -0.69253;3.44910
 54.58200;136.77458;     -0.69948;3.44883
 55.08200;136.74511;     -0.70745;3.44856
 55.58200;136.71566;     -0.71603;3.44829
 56.08200;136.68622;     -0.72606;3.44801
 56.58200;136.65679;     -0.73709;3.44773
 57.08200;136.62738;     -0.75007;3.44744
 57.58200;136.59797;     -0.76492;3.44716
 58.08200;136.56856;     -0.78179;3.44687
 58.58200;136.53914;     -0.80110;3.44658
 59.08200;136.50973;     -0.82379;3.44628
 59.58200;136.48032;     -0.85017;3.44599
 60.08200;136.45091;     -0.88068;3.44569
 60.58200;136.42151;     -0.91596;3.44538
 61.08200;136.39212;     -0.95723;3.44508
 61.58200;136.36274;     -1.00451;3.44477
 62.08200;136.33336;     -1.05995;3.44446
 62.58200;136.30400;     -1.12464;3.44414
 63.08200;136.27464;     -1.19931;3.44383
 63.58200;136.24528;     -1.28429;3.44350
 64.08200;136.21594;     -1.37977;3.44318
 64.58200;136.18660;     -1.48556;3.44286
 65.08200;136.15727;     -1.60002;3.44253
 65.58200;136.12795;     -1.71963;3.44220
 66.08200;136.09864;     -1.84140;3.44186
 66.58200;136.06932;     -1.96196;3.44152
 67.08200;136.03999;     -2.07927;3.44118
 67.58200;136.01065;     -2.18933;3.44084
 68.08200;135.98130;     -2.28891;3.44050
 68.58200;135.95193;     -2.37524;3.44015
 69.08200;135.92255;     -2.44531;3.43979
 69.58200;135.89317;     -2.49682;3.43944
 70.08200;135.86378;     -2.52770;3.43908
 70.58200;135.83439;     -2.53719;3.43872
 71.08200;135.80498;     -2.52442;3.43836
 71.58200;135.77556;     -2.48922;3.43799
 72.08200;135.74613;     -2.43326;3.43763
 72.58200;135.71669;     -2.35782;3.43726
 73.08200;135.68725;     -2.26579;3.43688
 73.58200;135.65781;     -2.15944;3.43650
 74.08200;135.62838;     -2.04264;3.43612
 74.58200;135.59894;     -1.91911;3.43574
 75.08200;135.56952;     -1.79174;3.43536
 75.58200;135.54009;     -1.66386;3.43497
 76.08200;135.51068;     -1.53904;3.43458
 76.58200;135.48129;     -1.41945;3.43418
 77.08200;135.45190;     -1.30728;3.43379
 77.58200;135.42252;     -1.20429;3.43339
 78.08200;135.39316;     -1.11076;3.43298
 78.58200;135.36379;     -1.02787;3.43258
 79.08200;135.33443;     -0.95533;3.43217
 79.58200;135.30507;     -0.89315;3.43176
 80.08200;135.27572;     -0.84051;3.43135
 80.58200;135.24636;     -0.79634;3.43093
 81.08200;135.21702;     -0.76050;3.43051
 81.58200;135.18768;     -0.73132;3.43009
 82.08200;135.15834;     -0.70818;3.42966
 82.58200;135.12900;     -0.69018;3.42923
 83.08200;135.09967;     -0.67610;3.42880
 83.58200;135.07034;     -0.66582;3.42837
 84.08200;135.04101;     -0.65773;3.42793
 84.58200;135.01168;     -0.65215;3.42749
 85.08200;134.98234;     -0.64800;3.42705
 85.58200;134.95301;     -0.64542;3.42661
 86.08200;134.92369;     -0.64359;3.42616
 86.58200;134.89438;     -0.64261;3.42571
 87.08200;134.86507;     -0.64207;3.42526
 87.58200;134.83578;     -0.64202;3.42480
 88.08200;134.80651;     -0.64233;3.42434
 88.58200;134.77724;     -0.64303;3.42388
 89.08200;134.74798;     -0.64333;3.42342
 89.58200;134.71873;     -0.64440;3.42295
 90.08200;134.68947;     -0.64502;3.42248
 90.58200;134.66022;     -0.64599;3.42201
 91.08200;134.63096;     -0.64660;3.42153
 91.58200;134.60171;     -0.64725;3.42105
 92.08200;134.57246;     -0.64811;3.42057
 92.58200;134.54324;     -0.64894;3.42009
 93.08200;134.51403;     -0.64982;3.41960
 93.58200;134.48483;     -0.65080;3.41911
 94.08200;134.45564;     -0.65183;3.41862
 94.58200;134.42647;     -0.65302;3.41812
 95.08200;134.39730;     -0.65364;3.41762
 95.58200;134.36815;     -0.65463;3.41712
 96.08200;134.33900;     -0.65586;3.41662
 96.58200;134.30986;     -0.65679;3.41611
 97.08200;134.28073;     -0.65797;3.41560
 97.58200;134.25162;     -0.65871;3.41509
 98.08200;134.22250;     -0.65987;3.41458
 98.58200;134.19340;     -0.66071;3.41406
 99.08200;134.16431;     -0.66178;3.41354
 99.58200;134.13523;     -0.66292;3.41302
100.08200;134.10616;     -0.66394;3.41249
100.58200;134.07711;     -0.66523;3.41196
101.08200;134.04806;     -0.66621;3.41143
101.58200;134.01903;     -0.66753;3.41090
102.08200;133.99002;     -0.66888;3.41036
102.58200;133.96103;     -0.67035;3.40982
103.08200;133.93205;     -0.67171;3.40928
103.58200;133.90310;     -0.67289;3.40873
104.08200;133.87416;     -0.67449;3.40819
104.58200;133.84525;     -0.67602;3.40763
105.08200;133.81636;     -0.67758;3.40708
105.58200;133.78750;     -0.67927;3.40653
106.08200;133.75867;     -0.68103;3.40597
106.58200;133.72988;     -0.68249;3.40540
107.08200;133.70111;     -0.68462;3.40484
107.58200;133.67238;     -0.68631;3.40427
108.08200;133.64369;     -0.68812;3.40370
108.58200;133.61504;     -0.69026;3.40313
109.08200;133.58643;     -0.69249;3.40255
109.58200;133.55786;     -0.69462;3.40198
110.08200;133.52933;     -0.69667;3.40139
110.58200;133.50085;     -0.69913;3.40081
111.08200;133.47241;     -0.70184;3.40022
111.58200;133.44403;     -0.70423;3.39964
112.08200;133.41570;     -0.70694;3.39904
112.58200;133.38743;     -0.70948;3.39845
113.08200;133.35923;     -0.71210;3.39785
113.58200;133.33109;     -0.71512;3.39725
114.08200;133.30302;     -0.71831;3.39665
114.58200;133.27502;     -0.72131;3.39604
115.08200;133.24709;     -0.72434;3.39543
115.58200;133.21924;     -0.72733;3.39482
116.08200;133.19147;     -0.73064;3.39421
116.58200;133.16378;     -0.73415;3.39359
117.08200;133.13617;     -0.73765;3.39297
117.58200;133.10866;     -0.74117;3.39235
118.08200;133.08123;     -0.74452;3.39173
118.58200;133.05388;     -0.74845;3.39110
119.08200;133.02664;     -0.75177;3.39047
119.58200;132.99950;     -0.75569;3.38983
120.08200;132.97246;     -0.75952;3.38920
120.58200;132.94553;     -0.76273;3.38856
121.08200;132.91870;     -0.76648;3.38792
121.58200;132.89199;     -0.77026;3.38727
122.08200;132.86539;     -0.77373;3.38663
122.58200;132.83891;     -0.77693;3.38598
123.08200;132.81255;     -0.78016;3.38533
123.58200;132.78632;     -0.78300;3.38467
124.08200;132.76022;     -0.78554;3.38401
124.58200;132.73423;     -0.78765;3.38335
125.08200;132.70838;     -0.78961;3.38269
125.58200;132.68264;     -0.79105;3.38202
126.08200;132.65703;     -0.79217;3.38136
126.58200;132.63154;     -0.79223;3.38069
127.08200;132.60616;     -0.79179;3.38001
127.58200;132.58090;     -0.78987;3.37934
128.08200;132.55575;     -0.78771;3.37866
128.58200;132.53071;     -0.78395;3.37797
129.08200;132.50577;     -0.77979;3.37729
129.58200;132.48091;     -0.77290;3.37660
130.08200;132.45613;     -0.76672;3.37591
130.58200;132.43142;     -0.75711;3.37522
131.08200;132.40674;     -0.74567;3.37452
131.58200;132.38210;     -0.73218;3.37383
132.08200;132.35745;     -0.71678;3.37313
132.58200;132.33278;     -0.69859;3.37242
133.08200;132.30804;     -0.67802;3.37172
133.58200;132.28320;     -0.65444;3.37101
134.08200;132.25821;     -0.62775;3.37030
134.58200;132.23300;     -0.59765;3.36958
135.08200;132.20750;     -0.56401;3.36887
135.58200;132.18160;     -0.52650;3.36815
136.08200;132.15517;     -0.48479;3.36742
136.58200;132.12803;     -0.43846;3.36670
137.08200;132.09991;     -0.38745;3.36597
137.58200;132.07041;     -0.33160;3.36524
138.08200;132.03884;     -0.27138;3.36451
138.58200;132.00401;     -0.20715;3.36377
139.08200;131.96340;     -0.13904;3.36304
139.58200;131.90954;-7.052564e-02;3.36229

